ReasonCode,Processor,Reasoncategory
10.1,VISA,FRAUD
10.2,VISA,FRAUD
10.3,VISA,FRAUD
10.4,VISA,FRAUD
10.5,VISA,FRAUD
11.1,VISA,AUTHORIZATION
11.2,VISA,AUTHORIZATION
11.3,VISA,AUTHORIZATION
12.1,VISA,PROCESSING_ERROR
12.2,VISA,PROCESSING_ERROR
12.3,VISA,PROCESSING_ERROR
12.4,VISA,PROCESSING_ERROR
12.5,VISA,PROCESSING_ERROR
12.6,VISA,PROCESSING_ERROR
12.7,VISA,PROCESSING_ERROR
13.1,VISA,SERVICE
13.2,VISA,SERVICE
13.3,VISA,SERVICE
13.4,VISA,SERVICE
13.5,VISA,SERVICE
13.6,VISA,SERVICE
13.7,VISA,SERVICE
13.8,VISA,SERVICE
13.9,VISA,SERVICE
30,VISA,SERVICE
34,VISA,PROCESSING_ERROR
41,VISA,SERVICE
53,VISA,SERVICE
71,VISA,AUTHORIZATION
82,VISA,PROCESSING_ERROR
30,AMERICAN_EXPRESS,SERVICE
34,AMERICAN_EXPRESS,SERVICE
41,AMERICAN_EXPRESS,SERVICE
53,AMERICAN_EXPRESS,PROCESSING_ERROR
170,AMERICAN_EXPRESS,SERVICE
12.5,AMERICAN_EXPRESS,PROCESSING_ERROR
12.6,AMERICAN_EXPRESS,SERVICE
12.7,AMERICAN_EXPRESS,FRAUD
13.1,AMERICAN_EXPRESS,FRAUD
21,AMERICAN_EXPRESS,SERVICE
24,AMERICAN_EXPRESS,SERVICE
4,AMERICAN_EXPRESS,SERVICE
4507,AMERICAN_EXPRESS,PROCESSING_ERROR
4512,AMERICAN_EXPRESS,PROCESSING_ERROR
4513,AMERICAN_EXPRESS,SERVICE
4515,AMERICAN_EXPRESS,SERVICE
4521,AMERICAN_EXPRESS,AUTHORIZATION
4522,AMERICAN_EXPRESS,PROCESSING_ERROR
4523,AMERICAN_EXPRESS,PROCESSING_ERROR
4525,AMERICAN_EXPRESS,PROCESSING_ERROR
4526,AMERICAN_EXPRESS,FRAUD
4527,AMERICAN_EXPRESS,FRAUD
4530,AMERICAN_EXPRESS,PROCESSING_ERROR
4532,AMERICAN_EXPRESS,SERVICE
4534,AMERICAN_EXPRESS,FRAUD
4536,AMERICAN_EXPRESS,PROCESSING_ERROR
4540,AMERICAN_EXPRESS,FRAUD
4544,AMERICAN_EXPRESS,SERVICE
4553,AMERICAN_EXPRESS,SERVICE
4554,AMERICAN_EXPRESS,SERVICE
4750,AMERICAN_EXPRESS,SERVICE
4751,AMERICAN_EXPRESS,AUTHORIZATION
4752,AMERICAN_EXPRESS,PROCESSING_ERROR
4754,AMERICAN_EXPRESS,SERVICE
4755,AMERICAN_EXPRESS,SERVICE
4758,AMERICAN_EXPRESS,PROCESSING_ERROR
4763,AMERICAN_EXPRESS,FRAUD
4798,AMERICAN_EXPRESS,FRAUD
4799,AMERICAN_EXPRESS,FRAUD
59,AMERICAN_EXPRESS,SERVICE
6006,AMERICAN_EXPRESS,FRAUD
61,AMERICAN_EXPRESS,PROCESSING_ERROR
62,AMERICAN_EXPRESS,PROCESSING_ERROR
63,AMERICAN_EXPRESS,SERVICE
680,AMERICAN_EXPRESS,PROCESSING_ERROR
684,AMERICAN_EXPRESS,PROCESSING_ERROR